twitter_handle,party,tweet_excerpt,csv-output-round1,response label,csv-output-round2,Correct ANS,full tweet,
@adammetzendorf,Democrat,always repping the mighty phoenixmercury and keeping bg in my thoughts,2,,,,always repping the mighty phoenixmercury and keeping bg in my thoughts wearebg, 
@BobLancia,Republican,thank goodness startchangeri lanciaforri,2,,,,abc6 thank goodness startchangeri lanciaforri, 
@bridgetmfleming,Democrat,1199seiu fantastic thank you teamfleming was all over the district today,2,,,,1199seiu fantastic thank you teamfleming was all over the district today 1199seiu is critical in this race, 
@bridgetmfleming,Democrat,aapiheritagemonth begins today this month we honor the cultures and contributions,2,0,0,0,aapiheritagemonth begins today this month we honor the cultures and contributions of the aapi community we as americans must work to stopaapihate, 
@cruzforil,Republican,wonder what small biz you have run since you can t use your real name,2,,,,90swillyswonder hmm wonder what small biz you have run since you can t use your real name, 
@DavidGiglioCA,Republican,922 athletes have dropped dead this last year alone due to heart attacks... covid19 emergency is over,0,,,,922 athletes have dropped dead this last year alone due to heart attacks n nthe covid19 emergency is over there s no need to rush these untested and potential deadly drugs onto the market n nremember when we said the cure shouldn t be worse than the disease, 
@ElectMikeGarcia,Republican,achieve energy independence... hold criminals accountable... end all covid mandates,0,,,,achieve energy independence to lower skyrocketing fuel costs n hold criminals accountable and protect our neighborhoods n end all covid mandates, 
@EngelForArizona,Democrat,a glimpse of life for so many families in a post-roe america hardship desperation unsafe illegal abortions,0,,,,a glimpse of life for so many families in a post-roe america hardship desperation unsafe illegal abortions the crippling costs of seeking abortion care hundreds of miles away if roe is overturned congress must step in to guarantee abortion access n, 
@huwaidaarraf,Democrat,3200 new uaw jobs in michigan... proving that strong unions create quality products,0,,,,3 200 new uaw jobs in michigan is tremendous news michigan s uaw laborers should be proud of the business they attract to our great state proving that strong unions create quality products and dignified jobs and make our communities stronger, 
@JackLombardi,Republican,americans are losing money at a record rate and this fool wants americans to spring for a ev,0,,,,americans are losing money at a record rate and this fool wants americans to spring for a ev n nout-of-touch democrats, 
@JenRuthGreen,Republican,45isgreatest thank you so much,2,,,,45isgreatest thank you so much, 
@Jerone4Congress,Republican,tells how i jerone davison for congress converted a whole black barbershop to vote republican,0,2,,,a woman i met at a republican women s meeting in mesa that i spoke at tells how i jerone davison for congress converted a whole black barbershop to vote republican jeroneforcongress raideralumni raidernation theherschelwalk asualumni arrestfauci, 
@KeithPekau,Republican,a new study gave illinois an f grade for it s handling of covid,0,,,,a new study gave illinois an f grade for it s handling of covid other states receiving f s - ca nm ny nj we need a change in leadership this year we have a very real opportunity to make that happen, 
@KindforCongress,Democrat,truman lowe was a voice for native peoples,2,,,,a graduate of uwlacrosse and a longtime professor at uwmadison truman lowe was a voice for native peoples and made art that captures the imagination we re proud to celebrate his memory and legacy, 
