id,party,tweet,new prompt label,correct ANS
53,Republican,attending today s special noon service with my wife maryann to pray and show support for the people of ukraine rigopchairwoman rhodeislandgop ozsultan startchangeri lancia4congress,2,1
164,Democrat,families are struggling to pay their property taxes and are penalized for increasing the value of their homes by having to pay even higher taxes n nwe need to revise the method for determining the amounts of potential surcharges to be levied against policyholders,0,1
331,Democrat,jd vance made millions profiting from globalization and says it was not necessarily bad trade deals that hollowed out our communities and sold ohio workers out wrong n ni ll work with anyone to fix our supply chains and bring manufacturing home let s make things in ohio again,0,1
487,Democrat,our police officers are asked to do too much with too little i am happy to see the house pass the invest to protect act to provide our small departments with the resources they need to keep our communities safe,1,1
494,Democrat,passed a bipartisan us house bill - the most ambitious legislation targeting military toxic exposure since the vietnam war it s supported by 11 veterans service organizations n nvote 256-174 34 gop n nashley hinson voted no n n ia02 n n,0,1
561,Democrat,shout out to republicans who love their public schools teachers education for their children n nwe support you ca03 ca01 ca05 ca06 ca07 ca02 ca04 ca09 maxsteinerca joshharder beraforcongress johngaramendi jaredhuffman mike_ca05 speakerpelosi dorismatsui,1,1
616,Democrat,the american people already sacrifice everyday because of the democratic majority amp their refusal to deliver on campaign promises amp platform n ndemocrats work for the corporations that need protection from free-market competition,1,1
661,Republican,this means that with cut off trump af candidates are forced to campaign with a massive war chests disadvantage n nnot to mention the gop spends millions tricking gop voters into thinking their gope candidate is actually the af conservative n n 4 5,1,1
701,Democrat,us is funding a proxy war in ukraine using civilians as pawns katie ha v,1,1
51,Democrat,assemblyman peterson and i disagree on most things but he deserves credit for telling voters exactly what he believes and on this he s right it s amazing that even on russia ukraine tom kean won t take a stand who or what is he scared of,1,2
86,Republican,certain warhawks in my own party are tempting me to violate reagan s 11th commandment we must dispense with the foolish rhetoric and approach this tragic situation in the ukraine with wisdom and very clear strategic objectives before being embroiled in another war copolitics,1,0
136,Republican,drlillwallace ryanafournier disclosetv lindseygrahamsc anyone who thinks a direct nato attack on russia would have stopped the conflict rather than escalate it can t be saved,1,0
141,Republican,dyoffee joebiden i m more than good with some ass kissing if it keeps us from nuclear annihilation,1,2
347,Republican,juliecbarrett wagop smileyforwa agreed wsrp rnc does not they get more for losing and if they were to win funny thought right they would actually have to do something instead of always blaming the dems losing is the true incentive thus the problem we must return to the party of lincoln and reagan,1,2
379,Republican,lee zeldin standing up for his opponent s medical freedom is true leadership,1,0
395,Democrat,marceelias christysmithca ahh the ability for your own team to create the maps to the disadvantage of all others - and john roberts wants to review amp approve n nkarma for the north carolina dems excluding a green party candidate unfairly,1,2
577,Democrat,something that i believe in that didn t make my campaign page term limits i believe the house and senate should be limited to 12 years that way stale people with stale ideas can make room for younger people with fresh ideas n,0,2
677,Republican,to win a seat at the table we need to be open to consensus collaboration and compromise experience with results has defined my years of public service that is what i will bring to congress il06 newil06 n n,1,2
760,Republican,why won t other republican candidates in d-8 agree to a forum debate with all the candidates doesn t wagop think voters deserve to hear where we all stand on issues n njust one of many similar messages i get from republican groups about this props to greywolfjustin btw,1,2
