id,__twarcretrieved_at,,text_for_analysis
1,5/3/2024,Democrat,_c_tt cityofberkeley lot s of russian soldiers have laid down their weapons n nthank you so much for helping to expand the reach on this message n nfolks love the image you shared amp take action by spreading the idea of securing weapons amp halting their fighting
2,5/3/2024,Democrat,1 seeking safety is a human right we can work to secure the border and ensure migrants are treated humanely it s not either or we should follow our laws and insist that others do the same keeping our borders secure and also giving migrants due process worldrefugeeday
3,5/3/2024,Republican,1 today is nationallawenforcementappreciationday here at sft we love our leos thank you for keeping us safe it has been a privilege defending you in media and in forums while you defend us i promise that you will always be my priority you know that is a promise
4,5/3/2024,Democrat,1199seiu fantastic thank you teamfleming was all over the district today 1199seiu is critical in this race
5,5/3/2024,Democrat,2 2 n nloved ones can access free confidential support by calling or texting 1-833-9-help4moms 1-833-943-5746 n nservices are available in over 60 languages n nmore information here n
6,5/3/2024,Democrat,28 years ago the violence against women act became law n nin the senate i ll keep working to build on those landmark protections and pass legislation to keep women and families safe unlike jd vance who says parents should stay in violent marriages for the sake of their kids
7,5/3/2024,Democrat,3 200 new uaw jobs in michigan is tremendous news michigan s uaw laborers should be proud of the business they attract to our great state proving that strong unions create quality products and dignified jobs and make our communities stronger
8,5/3/2024,Republican,45isgreatest thank you so much
9,5/3/2024,Democrat,8 we must pass legislation now to relieve the shortage of microchips a huge reason for higher prices of cars and many other goods and my broader bill to bring home from china manufacturing of goods critical to america s economic security
10,5/3/2024,Republican,90swillyswonder hmm wonder what small biz you have run since you can t use your real name
11,5/3/2024,Republican,922 athletes have dropped dead this last year alone due to heart attacks n nthe covid19 emergency is over there s no need to rush these untested and potential deadly drugs onto the market n nremember when we said the cure shouldn t be worse than the disease
12,5/3/2024,Republican,a big thank you to everyone who spoke out against this bill and killed the 3 sales tax the phone calls letters and emails made a difference we do have a voice n orpol or06 n
13,5/3/2024,Republican,a candidate for congress still refuses to denounce a declared chinese propaganda program that he helped bring into us schools jay chen s record of standing with china speaks for itself ca45
14,5/3/2024,Democrat,a glimpse of life for so many families in a post-roe america hardship desperation unsafe illegal abortions the crippling costs of seeking abortion care hundreds of miles away if roe is overturned congress must step in to guarantee abortion access n
15,5/3/2024,Democrat,a graduate of uwlacrosse and a longtime professor at uwmadison truman lowe was a voice for native peoples and made art that captures the imagination we re proud to celebrate his memory and legacy
16,5/3/2024,Republican,a new study gave illinois an f grade for it s handling of covid other states receiving f s - ca nm ny nj we need a change in leadership this year we have a very real opportunity to make that happen
17,5/3/2024,Democrat,a powerful message from my friend jasonkander about his battle with ptsd thank you for sharing your story n ncheck out his new book invisiblestorm - and support the fight against veteran suicide and homelessness
