id,party,tweet
53,Republican,attending today s special noon service with my wife maryann to pray and show support for the people of ukraine rigopchairwoman rhodeislandgop ozsultan startchangeri lancia4congress
164,Democrat,families are struggling to pay their property taxes and are penalized for increasing the value of their homes by having to pay even higher taxes n nwe need to revise the method for determining the amounts of potential surcharges to be levied against policyholders
331,Democrat,jd vance made millions profiting from globalization and says it was not necessarily bad trade deals that hollowed out our communities and sold ohio workers out wrong n ni ll work with anyone to fix our supply chains and bring manufacturing home let s make things in ohio again
487,Democrat,our police officers are asked to do too much with too little i am happy to see the house pass the invest to protect act to provide our small departments with the resources they need to keep our communities safe
494,Democrat,passed a bipartisan us house bill - the most ambitious legislation targeting military toxic exposure since the vietnam war it s supported by 11 veterans service organizations n nvote 256-174 34 gop n nashley hinson voted no n n ia02 n n
561,Democrat,shout out to republicans who love their public schools teachers education for their children n nwe support you ca03 ca01 ca05 ca06 ca07 ca02 ca04 ca09 maxsteinerca joshharder beraforcongress johngaramendi jaredhuffman mike_ca05 speakerpelosi dorismatsui
616,Democrat,the american people already sacrifice everyday because of the democratic majority amp their refusal to deliver on campaign promises amp platform n ndemocrats work for the corporations that need protection from free-market competition
661,Republican,this means that with cut off trump af candidates are forced to campaign with a massive war chests disadvantage n nnot to mention the gop spends millions tricking gop voters into thinking their gope candidate is actually the af conservative n n 4 5
701,Democrat,us is funding a proxy war in ukraine using civilians as pawns katie ha v
51,Democrat,assemblyman peterson and i disagree on most things but he deserves credit for telling voters exactly what he believes and on this he s right it s amazing that even on russia ukraine tom kean won t take a stand who or what is he scared of
86,Republican,certain warhawks in my own party are tempting me to violate reagan s 11th commandment we must dispense with the foolish rhetoric and approach this tragic situation in the ukraine with wisdom and very clear strategic objectives before being embroiled in another war copolitics
136,Republican,drlillwallace ryanafournier disclosetv lindseygrahamsc anyone who thinks a direct nato attack on russia would have stopped the conflict rather than escalate it can t be saved
141,Republican,dyoffee joebiden i m more than good with some ass kissing if it keeps us from nuclear annihilation
347,Republican,juliecbarrett wagop smileyforwa agreed wsrp rnc does not they get more for losing and if they were to win funny thought right they would actually have to do something instead of always blaming the dems losing is the true incentive thus the problem we must return to the party of lincoln and reagan
379,Republican,lee zeldin standing up for his opponent s medical freedom is true leadership
395,Democrat,marceelias christysmithca ahh the ability for your own team to create the maps to the disadvantage of all others - and john roberts wants to review amp approve n nkarma for the north carolina dems excluding a green party candidate unfairly
577,Democrat,something that i believe in that didn t make my campaign page term limits i believe the house and senate should be limited to 12 years that way stale people with stale ideas can make room for younger people with fresh ideas n
677,Republican,to win a seat at the table we need to be open to consensus collaboration and compromise experience with results has defined my years of public service that is what i will bring to congress il06 newil06 n n
760,Republican,why won t other republican candidates in d-8 agree to a forum debate with all the candidates doesn t wagop think voters deserve to hear where we all stand on issues n njust one of many similar messages i get from republican groups about this props to greywolfjustin btw
142,Democrat,each time a mass shooting occurs in america it steals our peace by replacing freedom with fear n nwe need the senate to abolish the filibuster so we can pass commonsense gun safety measures to keep our communities safe n n
551,Democrat,scott franklin and matt gaetz are best friends that s why i m running to defeat franklin and hold gaetz accountable can you chip in a few dollars today to continue this momentum
664,Democrat,this picture was taken 2 years ago today our distillery immediately halted ethanol production and began producing handsanitizer 24-7 to fill local shortages we put people over profit n nwhen communities band together there s nothing we can t accomplish nc13 ncpol
386,Democrat,look folks i m not a millionaire and i don t have billionaire friends like jd i m relying on team ryan can you chip in 5 to keep our momentum going n n
719,Democrat,we are a people-powered campaign n nhey south texas our first major deadline in this runoff race is coming up this thursday and we need your help to reach our goal n nour goal is to raise 5 555 by thursday 10pm ct
311,Republican,it s 5 pm - two hours to go and ranger says go vote remember if you re in line at 7 pm when polls close you can still cast your ballot n winsomesears jasonmiyaresva and our local candidates need every single vote let s do this virginia
158,Democrat,even in the case of rape neven in the case of incest neven if a woman s life is in danger n wants to ban access to abortion with no exceptions n nwatch our latest ad
473,Democrat,on this international labor day can we as a nation agree we will not do business with those who seek to break our unions mayday2022 firebezos
721,Republican,we are struggling to meet recruiting goals in every branch of the service and our reservists are coming off one of the busiest years ever - this is just unnecessary and unhelpful
505,Democrat,please make a donation to ensure he never gets anywhere near the united states senate
766,Republican,working hard and having fun out on the campaign trail in nc01 votesandysmith redwave2022
578,Democrat,south texans deserve the best and i m ready to fight for our home and our families every single day n njoin our growing movement and donate today at n nlet s make history south texas
618,Democrat,the climate crisis will reach a point of no return if we fail to act now n nwe need more investment and more infrastructure and we need it now
